JD,Bmag,Berr,Jmag,Jerr
2454501.81755,null,null,14.883,0.021
2454537.77108,null,null,14.302,0.016
2454603.70459,17.24,0.011,14.646,0.024
2454640.56042,17.262,0.006,15.22,0.03
2454662.63167,17.09,0.011,14.895,0.026
2454677.63073,17.223,0.021,null,null
2454682.59854,17.329,0.022,null,null
2454685.58869,17.319,0.025,null,null
2454689.5953,17.384,0.12,null,null
2454698.57538,17.289,0.029,15.561,0.024
2454700.49023,17.277,0.021,15.431,0.023
2454702.49567,17.267,0.02,15.285,0.022
2454703.55943,17.234,0.02,15.286,0.02
2454708.5253,17.127,0.018,15.056,0.017
2454710.5337,17.187,0.022,15.187,0.022
2454720.48676,17.181,0.029,15.016,0.017
2454722.47913,17.086,0.031,15.01,0.016
2454725.50191,17.161,0.038,15.238,0.019
2454736.47748,17.244,0.083,15.594,0.028
2454738.48109,17.287,0.068,15.554,0.025
2454845.83031,null,null,14.572,0.012
2454847.82498,null,null,14.891,0.014
2454854.85819,16.915,0.017,null,null
2454856.83246,null,null,null,null
2454858.86225,16.779,0.015,null,null
2454860.80056,null,null,null,null
2454866.79448,17.295,0.024,null,null
2454870.82698,17.232,0.032,null,null
2454871.79403,null,null,null,null
2454872.78813,null,null,null,null
2454874.78901,17.253,0.024,15.249,0.016
2454875.76319,null,null,15.095,0.015
2454876.79405,null,null,15.097,0.015
2454879.75574,null,null,15.225,0.015
2454882.85871,null,null,15.208,0.017
2454886.76298,null,null,15.313,0.017
2454888.77191,null,null,15.106,0.016
2454890.80301,17.158,0.018,15.217,0.017
2454892.7831,17.21,0.018,15.299,0.017
2454894.8046,null,null,15.348,0.018
2454896.80364,null,null,15.331,0.017
2454900.80997,16.951,0.03,null,null
2454902.73504,16.841,0.035,14.583,0.012
2454904.82583,16.864,0.03,14.766,0.012
2454906.78098,16.532,0.017,null,null
2454908.80742,16.773,0.017,14.388,0.011
2454910.79166,16.533,0.013,null,null
2454912.79207,15.254,0.009,13.638,0.007
2454914.72987,16.299,0.011,13.59,0.007
2454917.79677,15.736,0.007,13.036,0.005
2454918.74582,16.22,0.01,13.628,0.007
2454919.63389,16.346,0.012,13.755,0.008
